TreeID,Type,Round,Year,Month,Day,Hour,Minute,CH4pVal,CH4ppmFlux,CH4_RSQ,CO2pVal,CO2ppmFlux,CO2_RSQ,VA,CO2flag,CH4Flag,Initial Temp,K,CO2Flux,CH4Flux,Temp,Soil Meter,Soil Moisture,Well ID,DTW,species,wetland status,dbh,Density,SoilMoisture1,DateF,Methane,Carbon
10127,soil,2,2013,6,25,,,0.004117286,0.600599957,0.991782379,0.005691578,5275.368426,0.988649238,0.0708,Y,Y,25,298.15,671715.9097,27.80900449,21.1,EC-5,35.43333333,2,3.22,4,3,75.5,0.6433,32.65241881,2013-06-25,27.80900449,671715.9097
10127,soil,3,2013,7,30,,,0.006067946,-0.315329884,0.941790328,0.000579907,5211.154781,0.987716906,0.0708,Y,Y,25,298.15,663539.5468,-14.60041758,21.4,EC-5,24.93333333,2,3.73,4,3,75.5,0.6433,21.39163454,2013-07-30,-14.60041758,663539.5468
10206,soil,2,2013,6,25,,,0.009519502,1.283912613,0.921740335,0.00060022,3782.267613,0.987432451,0.0948,Y,Y,25,298.15,644852.1805,79.59956426,21.4,EC-5,38.36666667,1,2.35,5,3,17.8,0.5732,36.7474096,2013-06-25,79.59956426,644852.1805
10206,soil,3,2013,8,1,,,5.37E-05,3.732631368,0.997480866,5.16E-05,3727.622374,0.997547878,0.0948,Y,Y,25,298.15,635535.5205,231.4143714,22.2,EC-5,49.16666667,1,2.35,5,3,17.8,0.5732,56.7735266,2013-08-01,231.4143714,635535.5205
10210,soil,1,2013,5,31,,,0.019001046,2.462672906,0.962358948,0.001628006,1920.968567,0.996746638,0.083,Y,Y,25,298.15,286746.3723,133.6754677,18.5,EC-5,32.73333333,1,2.37,2,1,52,0.5,29.2877206,2013-05-31,133.6754677,286746.3723
10210,soil,2,2013,6,26,,,0.001926964,0.960446261,0.972731413,0.000812099,2794.187655,0.98463482,0.083,Y,Y,25,298.15,417093.3285,52.13364016,,EC-5,36.86666667,1,2.39,2,1,52,0.5,34.59297878,2013-06-26,52.13364016,417093.3285
10210,soil,3,2013,8,1,,,6.04E-05,1.214744815,0.997274238,9.39E-06,2338.535742,0.999212094,0.083,Y,Y,25,298.15,349077.3624,65.93712907,21.7,EC-5,33.5,1,2.35,2,1,52,0.5,30.20622824,2013-08-01,65.93712907,349077.3624
10212,soil,2,2013,6,25,,,0.000469875,3.46473579,0.989320989,0.000412904,8000.377908,0.990200912,0.069,Y,Y,25,298.15,992794.0691,156.3457573,20.7,EC-5,45.5,1,2.35,6,1,46.2,0.4983,48.97863272,2013-06-25,156.3457573,992794.0691
10212,soil,3,2013,7,31,,,0.002111634,2.505054741,0.971026031,0.000641119,8738.515834,0.986869328,0.069,Y,Y,25,298.15,1084392.112,113.0402733,21.8,EC-5,45.86666667,1,2.35,6,1,46.2,0.4983,49.70734635,2013-07-31,113.0402733,1084392.112
10214,soil,2,2013,6,26,,,0.00025812,22.73590177,0.992832006,0.000109792,3257.628479,0.995943348,0.0832,Y,Y,25,298.15,487443.6988,1237.093138,21.1,EC-5,49.43333333,1,2.39,5,3,26.2,0.5732,57.38660628,2013-06-26,1237.093138,487443.6988
10214,soil,3,2013,7,31,,,0.000391838,9.646116216,0.990536471,0.000233063,3013.124907,0.993303119,0.0832,Y,Y,25,298.15,450858.273,524.8590667,21.6,EC-5,51.4,1,2.35,5,3,26.2,0.5732,62.11728776,2013-07-31,524.8590667,450858.273
10311,soil,2,2013,6,25,,,0.003610612,0.976193207,0.958674959,0.000131163,3640.169455,0.995433131,0.0776,Y,Y,25,298.15,508022.449,49.54095679,19.1,EC-5,36.7,1,2.35,1,2,16.1,0.5933,34.36153383,2013-06-25,49.54095679,508022.449
10311,soil,3,2013,8,1,,,0.060576113,0.378300811,0.88251724,0.001029481,4044.00849,0.997942099,0.0776,Y,Y,25,298.15,564382.2691,19.19843735,20.7,EC-5,33.96666667,1,2.35,1,2,16.1,0.5933,30.77936618,2013-08-01,19.19843735,564382.2691
10313,soil,2,2013,6,26,,,0.080946952,-0.591647713,0.844658506,0.111357398,618.7736317,0.789685674,0.086,N,Y,25,298.15,95703.943,-33.27580182,,EC-5,33.5,1,2.39,7,1,12.5,0.62,30.20622824,2013-06-26,-33.27580182,95703.943
10313,soil,3,2013,8,1,,,0.020024108,1.264725512,0.960352748,0.000247717,2129.114034,0.999504627,0.086,Y,Y,25,298.15,329303.9615,71.13144285,21.6,EC-5,39.16666667,1,2.35,7,1,12.5,0.62,37.950783,2013-08-01,71.13144285,329303.9615
10315,soil,1,2013,5,31,,,0.021109684,7.274238216,0.958226251,0.011674348,3699.983097,0.976787595,0.0852,Y,Y,25,298.15,566942.3717,405.3162366,19.6,EC-5,28.8,1,2.37,5,3,28.5,0.5732,24.99664301,2013-05-31,405.3162366,566942.3717
10315,soil,2,2013,6,25,,,0.041401629,1.310740798,0.918910836,0.008394104,5776.156553,0.983282253,0.0852,Y,Y,25,298.15,885071.0422,73.03369941,22.1,EC-5,40.36666667,1,2.35,5,3,28.5,0.5732,39.83013299,2013-06-25,73.03369941,885071.0422
10316,soil,2,2013,6,25,,,0.02046416,1.949896363,0.959490461,0.014431208,2640.118247,0.971345843,0.0844,Y,Y,25,298.15,400742.5033,107.6269079,20.7,EC-5,30.12,1,2.35,5,3,26.2,0.5732,26.36160238,2013-06-25,107.6269079,400742.5033
10316,soil,2,2013,6,26,,,0.02046416,1.949896363,0.959490461,0.014431208,2640.118247,0.971345843,0.0844,Y,Y,25,298.15,400742.5033,107.6269079,22.2,EC-5,24.83333333,1,2.39,5,3,26.2,0.5732,21.3056466,2013-06-26,107.6269079,400742.5033
10316,soil,3,2013,8,1,,,0.00046542,4.303963811,0.989388454,0.00040864,6282.060237,0.990268363,0.0844,Y,Y,25,298.15,953551.4358,237.5625318,21.9,EC-5,29.26666667,1,2.35,5,3,26.2,0.5732,25.47093342,2013-08-01,237.5625318,953551.4358
