DateTime,Julian,Year,Month,Date,Hour,Minute,CH4p,CH4S,CH4R,CO2p,CO2S,CO2R, InitialTemp,Chamber,CH4flag,CO2flag,Flux,Type,Tree
2014-07-28 18:51:19,209.7854,2014,7,28,18,51,0,1.59434147,0.9981,0,1448.6622,0.9913,29.77502,7085-165,Y,Y,166.8278099,CH4,Tulip Poplar
2014-07-28 19:35:21,209.8160,2014,7,28,19,35,0,1.435523815,0.9929,0,1383.4486,0.9926,29.16231,7085-165,Y,Y,150.2095371,CH4,Tulip Poplar
2014-07-28 20:19:23,209.8465,2014,7,28,20,19,0,1.339350331,0.9991,0,1408.1274,0.9911,28.63355,7085-165,Y,Y,140.1461899,CH4,Tulip Poplar
2014-07-28 21:03:25,209.8771,2014,7,28,21,3,0,1.473276335,0.9918,0,890.3413,0.9537,27.98681,7085-165,Y,Y,154.1598641,CH4,Tulip Poplar
2014-07-28 21:47:27,209.9076,2014,7,28,21,47,0,1.208278962,0.9936,0,1381.8984,0.9821,27.66205,7085-165,Y,Y,126.4312174,CH4,Tulip Poplar
2014-07-28 22:31:30,209.9382,2014,7,28,22,31,0,1.146451924,0.9918,0,1126.295,0.9771,27.13722,7085-165,Y,Y,119.9617944,CH4,Tulip Poplar
2014-07-28 23:15:32,209.9688,2014,7,28,23,15,0,1.012352673,0.9964,0,1140.8462,0.989,26.57529,7085-165,Y,Y,105.9299921,CH4,Tulip Poplar
2014-07-28 23:59:34,209.9993,2014,7,28,23,59,0,1.006540141,0.9969,0,1178.3273,0.9846,26.2482,7085-165,Y,Y,105.3217836,CH4,Tulip Poplar
2014-07-29 00:43:36,210.0299,2014,7,29,0,43,0,0.966774949,0.9974,0,1121.4557,0.9859,26.01563,7085-165,Y,Y,101.1608558,CH4,Tulip Poplar
2014-07-29 01:27:38,210.0604,2014,7,29,1,27,0,0.892436845,0.9968,0,1160.3637,0.9934,25.43718,7085-165,Y,Y,93.38230684,CH4,Tulip Poplar
2014-07-29 02:11:41,210.0910,2014,7,29,2,11,0,0.847074636,0.9986,0,1068.8293,0.9934,24.94386,7085-165,Y,Y,88.63572139,CH4,Tulip Poplar
2014-07-29 02:55:43,210.1215,2014,7,29,2,55,0,0.777247014,0.9985,0,970.8597,0.9872,24.01016,7085-165,Y,Y,81.32913783,CH4,Tulip Poplar
2014-07-29 03:39:45,210.1521,2014,7,29,3,39,0,0.723573333,0.9965,0,1035.8275,0.981,23.10614,7085-165,Y,Y,75.71286126,CH4,Tulip Poplar
2014-07-29 04:23:47,210.1826,2014,7,29,4,23,0,0.702981209,0.9973,0,1080.1584,0.9873,22.65674,7085-165,Y,Y,73.55815405,CH4,Tulip Poplar
2014-07-29 05:07:49,210.2132,2014,7,29,5,7,0,0.686207146,0.9953,0,945.3471,0.9943,22.056,7085-165,Y,Y,71.80295907,CH4,Tulip Poplar
2014-07-29 05:51:51,210.2438,2014,7,29,5,51,0,0.622844005,0.9978,0,1060.0029,0.9941,21.55647,7085-165,Y,Y,65.17280215,CH4,Tulip Poplar
2014-07-29 06:35:54,210.2743,2014,7,29,6,35,0,0.541464399,0.9807,0,1077.4385,0.9958,21.85818,7085-165,Y,Y,56.6574486,CH4,Tulip Poplar
2014-07-29 07:19:56,210.3049,2014,7,29,7,19,0,0.607380489,0.9928,0,984.9405,0.9945,22.17845,7085-165,Y,Y,63.55473949,CH4,Tulip Poplar
2014-07-29 08:03:58,210.3354,2014,7,29,8,3,0,0.609781926,0.9963,0,961.0424,0.9943,22.74701,7085-165,Y,Y,63.80601969,CH4,Tulip Poplar
2014-07-29 08:48:00,210.3667,2014,7,29,8,48,0,0.577972656,0.9939,0,950.8845,0.9817,23.2429,7085-165,Y,Y,60.47757912,CH4,Tulip Poplar
2014-07-29 09:32:02,210.3972,2014,7,29,9,32,0,0.61856203,0.9934,0,1019.3814,0.9928,23.74002,7085-165,Y,Y,64.72474735,CH4,Tulip Poplar
2014-07-29 10:16:05,210.4278,2014,7,29,10,16,0,0.6207505,0.9971,0,1024.1949,0.9905,24.43206,7085-165,Y,Y,64.95374322,CH4,Tulip Poplar
2014-07-29 11:00:07,210.4583,2014,7,29,11,0,0,0.658370269,0.9985,0,999.7237,0.9808,25.27264,7085-165,Y,Y,68.89017948,CH4,Tulip Poplar
2014-07-29 11:44:09,210.4889,2014,7,29,11,44,0,0.81600323,0.9884,0,1193.3343,0.9926,25.99032,7085-165,Y,Y,85.38448899,CH4,Tulip Poplar
2014-07-29 12:28:11,210.5194,2014,7,29,12,28,0,0.801676026,0.9962,0,1173.4423,0.9893,26.53505,7085-165,Y,Y,83.88532703,CH4,Tulip Poplar
2014-07-29 13:12:13,210.5500,2014,7,29,13,12,0,0.885481792,0.9969,0,1108.9684,0.9952,26.95504,7085-165,Y,Y,92.65454787,CH4,Tulip Poplar
2014-07-29 13:56:16,210.5806,2014,7,29,13,56,0,0.801901291,0.999,0,1160.2931,0.9938,26.90841,7085-165,Y,Y,83.90889824,CH4,Tulip Poplar
2014-07-29 14:40:18,210.6111,2014,7,29,14,40,0,0.860968852,0.9964,0,1317.4039,0.9929,26.64121,7085-165,Y,Y,90.08957659,CH4,Tulip Poplar
2014-07-29 15:24:20,210.6417,2014,7,29,15,24,0,0.738628714,0.9974,0,1240.7035,0.9897,27.02703,7085-165,Y,Y,77.2882177,CH4,Tulip Poplar
