jday,jday_day,jday_time,Fd_7098,Fd_7085,dV_ 7098,dV_7085
196,196,0,NaN,0.003148396,NaN,-0.358
196.0069444,196,0.006944444,NaN,0.003124274,NaN,-0.358
196.0138889,196,0.013888889,NaN,0.002518144,NaN,-0.359
196.0208333,196,0.020833333,NaN,0.003682146,NaN,-0.357
196.0277778,196,0.027777778,NaN,0.003052221,NaN,-0.358
196.0347222,196,0.034722222,NaN,0.004259737,NaN,-0.356
196.0416667,196,0.041666667,NaN,0.003607718,NaN,-0.357
196.0486111,196,0.048611111,NaN,0.003583008,NaN,-0.357
196.0555556,196,0.055555556,NaN,0.003558349,NaN,-0.357
196.0625,196,0.0625,NaN,0.00293319,NaN,-0.358
196.0694444,196,0.069444444,NaN,0.00233549,NaN,-0.359
196.0763889,196,0.076388889,NaN,0.003484675,NaN,-0.357
196.0833333,196,0.083333333,NaN,0.002862414,NaN,-0.358
196.0902778,196,0.090277778,NaN,0.003435812,NaN,-0.357
196.0972222,196,0.097222222,NaN,0.002245551,NaN,-0.359
196.1041667,196,0.104166667,NaN,0.002223213,NaN,-0.359
196.1111111,196,0.111111111,NaN,0.002200935,NaN,-0.359
196.1180556,196,0.118055556,NaN,0.002178717,NaN,-0.359
196.125,196,0.125,NaN,0.002156558,NaN,-0.359
196.1319444,196,0.131944444,NaN,0.002134459,NaN,-0.359
196.1388889,196,0.138888889,NaN,0.002112421,NaN,-0.359
196.1458333,196,0.145833333,NaN,0.002653034,NaN,-0.358
196.1527778,196,0.152777778,NaN,0.002630047,NaN,-0.358
196.1597222,196,0.159722222,NaN,0.002607116,NaN,-0.358
196.1666667,196,0.166666667,NaN,0.002584241,NaN,-0.358
196.1736111,196,0.173611111,NaN,0.002003144,NaN,-0.359
196.1805556,196,0.180555556,NaN,0.001981473,NaN,-0.359
196.1875,196,0.1875,NaN,0.001959865,NaN,-0.359
196.1944444,196,0.194444444,NaN,0.001938319,NaN,-0.359
196.2013889,196,0.201388889,NaN,0.001916835,NaN,-0.359
196.2083333,196,0.208333333,NaN,0.002448188,NaN,-0.358
196.2152778,196,0.215277778,NaN,0.001874058,NaN,-0.359
196.2222222,196,0.222222222,NaN,0.001852765,NaN,-0.359
196.2291667,196,0.229166667,NaN,0.001831536,NaN,-0.359
196.2361111,196,0.236111111,NaN,0.001810371,NaN,-0.359
196.2430556,196,0.243055556,NaN,0.00178927,NaN,-0.359
196.25,196,0.25,NaN,0.001768234,NaN,-0.359
196.2569444,196,0.256944444,NaN,0.001747263,NaN,-0.359
196.2638889,196,0.263888889,NaN,0.001726357,NaN,-0.359
196.2708333,196,0.270833333,NaN,0.001196662,NaN,-0.36
196.2777778,196,0.277777778,NaN,0.001177286,NaN,-0.36
196.2847222,196,0.284722222,NaN,0.001157986,NaN,-0.36
196.2916667,196,0.291666667,NaN,0.001138764,NaN,-0.36
196.2986111,196,0.298611111,NaN,0.000658859,NaN,-0.361
196.3055556,196,0.305555556,NaN,0.000242095,NaN,-0.362
196.3125,196,0.3125,NaN,0.000624565,NaN,-0.361
196.3194444,196,0.319444444,NaN,0.000213959,NaN,-0.362
196.3263889,196,0.326388889,NaN,0,NaN,-0.363
196.3333333,196,0.333333333,NaN,0,NaN,-0.365
196.3402778,196,0.340277778,NaN,0,NaN,-0.364
196.3472222,196,0.347222222,NaN,0,NaN,-0.365
196.3541667,196,0.354166667,NaN,0,NaN,-0.364
196.3611111,196,0.361111111,NaN,0.00095091,NaN,-0.36
196.3680556,196,0.368055556,NaN,0.003697937,NaN,-0.355
196.375,196,0.375,NaN,0.006328427,NaN,-0.351
196.3819444,196,0.381944444,NaN,0.010036598,NaN,-0.346
196.3888889,196,0.388888889,NaN,0.018664915,NaN,-0.336
196.3958333,196,0.395833333,NaN,0.027668987,NaN,-0.327
196.4027778,196,0.402777778,NaN,0.036635721,NaN,-0.319
196.4097222,196,0.409722222,NaN,0.043958154,NaN,-0.313
196.4166667,196,0.416666667,NaN,0.050462198,NaN,-0.308
196.4236111,196,0.423611111,NaN,0.054529788,NaN,-0.305
196.4305556,196,0.430555556,NaN,0.05588581,NaN,-0.304
196.4375,196,0.4375,NaN,0.057257092,NaN,-0.303
196.4444444,196,0.444444444,NaN,0.060093202,NaN,-0.301
196.4513889,196,0.451388889,NaN,0.066006727,NaN,-0.297
196.4583333,196,0.458333333,NaN,0.067489628,NaN,-0.296
196.4652778,196,0.465277778,NaN,0.062897252,NaN,-0.299
196.4722222,196,0.472222222,NaN,0.062849381,NaN,-0.299
196.4791667,196,0.479166667,NaN,0.064298496,NaN,-0.298
196.4861111,196,0.486111111,NaN,0.065763634,NaN,-0.297
196.4930556,196,0.493055556,NaN,0.067244934,NaN,-0.296
196.5,196,0.5,NaN,0.070306055,NaN,-0.294
196.5069444,196,0.506944444,NaN,0.078334786,NaN,-0.289
196.5138889,196,0.513888889,NaN,0.076632695,NaN,-0.29
196.5208333,196,0.520833333,NaN,0.07823223,NaN,-0.289
196.5277778,196,0.527777778,NaN,0.083240324,NaN,-0.286
196.5347222,196,0.534722222,NaN,0.078129904,NaN,-0.289
196.5416667,196,0.541666667,NaN,0.074798216,NaN,-0.291
196.5486111,196,0.548611111,NaN,0.073134739,NaN,-0.292
196.5555556,196,0.555555556,NaN,0.071489664,NaN,-0.293
196.5625,196,0.5625,NaN,0.068302678,NaN,-0.295
196.5694444,196,0.569444444,NaN,0.062184842,NaN,-0.299
196.5763889,196,0.576388889,NaN,0.056335186,NaN,-0.303
196.5833333,196,0.583333333,NaN,0.059157593,NaN,-0.301
196.5902778,196,0.590277778,NaN,0.057669674,NaN,-0.302
196.5972222,196,0.597222222,NaN,0.059065207,NaN,-0.301
196.6041667,196,0.604166667,NaN,0.059019094,NaN,-0.301
196.6111111,196,0.611111111,NaN,0.058973035,NaN,-0.301
196.6180556,196,0.618055556,NaN,0.060383572,NaN,-0.3
196.625,196,0.625,NaN,0.054609871,NaN,-0.304
196.6319444,196,0.631944444,NaN,0.045154323,NaN,-0.311
196.6388889,196,0.638888889,NaN,0.038850658,NaN,-0.316
196.6458333,196,0.645833333,NaN,0.042521015,NaN,-0.313
196.6527778,196,0.652777778,NaN,0.042479619,NaN,-0.313
196.6597222,196,0.659722222,NaN,0.037523299,NaN,-0.317
196.6666667,196,0.666666667,NaN,0.029451007,NaN,-0.324
196.6736111,196,0.673611111,NaN,0.021104257,NaN,-0.332
196.6805556,196,0.680555556,NaN,0.017263942,NaN,-0.336
196.6875,196,0.6875,NaN,0.014532742,NaN,-0.339
196.6944444,196,0.694444444,NaN,0.012778746,NaN,-0.341
196.7013889,196,0.701388889,NaN,0.01191076,NaN,-0.342
196.7083333,196,0.708333333,NaN,0.014439712,NaN,-0.339
196.7152778,196,0.715277778,NaN,0.016189623,NaN,-0.337
196.7222222,196,0.722222222,NaN,0.01351059,NaN,-0.34
196.7291667,196,0.729166667,NaN,0.01016818,NaN,-0.344
196.7361111,196,0.736111111,NaN,0.007828092,NaN,-0.347
196.7430556,196,0.743055556,NaN,0.005650341,NaN,-0.35
196.75,196,0.75,NaN,0.004290168,NaN,-0.352
196.7569444,196,0.756944444,NaN,0.00302126,NaN,-0.354
196.7638889,196,0.763888889,NaN,0.002415096,NaN,-0.355
196.7708333,196,0.770833333,NaN,0.001839578,NaN,-0.356
196.7777778,196,0.777777778,NaN,0.001819772,NaN,-0.356
196.7847222,196,0.784722222,NaN,0.00293392,NaN,-0.354
196.7916667,196,0.791666667,NaN,0.001780339,NaN,-0.356
196.7986111,196,0.798611111,NaN,0.001244053,NaN,-0.357
196.8055556,196,0.805555556,NaN,0.00122578,NaN,-0.357
196.8125,196,0.8125,NaN,0.000734822,NaN,-0.358
196.8194444,196,0.819444444,NaN,0.000718359,NaN,-0.358
196.8263889,196,0.826388889,NaN,0.001171374,NaN,-0.357
196.8333333,196,0.833333333,NaN,0.003384599,NaN,-0.353
196.8402778,196,0.840277778,NaN,0.004635474,NaN,-0.351
196.8472222,196,0.847222222,NaN,0.006677442,NaN,-0.348
196.8541667,196,0.854166667,NaN,0.008122383,NaN,-0.346
196.8611111,196,0.861111111,NaN,0.008856924,NaN,-0.345
196.8680556,196,0.868055556,NaN,0.009607486,NaN,-0.344
196.875,196,0.875,NaN,0.010373724,NaN,-0.343
196.8819444,196,0.881944444,NaN,0.01115534,NaN,-0.342
196.8888889,196,0.888888889,NaN,0.011126851,NaN,-0.342
196.8958333,196,0.895833333,NaN,0.01276372,NaN,-0.34
196.9027778,196,0.902777778,NaN,0.012734384,NaN,-0.34
196.9097222,196,0.909722222,NaN,0.013560327,NaN,-0.339
196.9166667,196,0.916666667,NaN,0.016186787,NaN,-0.336
196.9236111,196,0.923611111,NaN,0.013500959,NaN,-0.339
196.9305556,196,0.930555556,NaN,0.013471334,NaN,-0.339
196.9375,196,0.9375,NaN,0.013441749,NaN,-0.339
196.9444444,196,0.944444444,NaN,0.013412202,NaN,-0.339
196.9513889,196,0.951388889,NaN,0.014250702,NaN,-0.338
196.9583333,196,0.958333333,NaN,0.014220794,NaN,-0.338
196.9652778,196,0.965277778,NaN,0.013323791,NaN,-0.339
196.9722222,196,0.972222222,NaN,0.013294397,NaN,-0.339
196.9791667,196,0.979166667,NaN,0.014131296,NaN,-0.338
196.9861111,196,0.986111111,NaN,0.01323572,NaN,-0.339
196.9930556,196,0.993055556,NaN,0.013206437,NaN,-0.339
197,197,0,NaN,0.012327774,NaN,-0.34
197.0069444,197,0.006944444,NaN,0.012299013,NaN,-0.34
197.0138889,197,0.013888889,NaN,0.013118808,NaN,-0.339
197.0208333,197,0.020833333,NaN,0.012241598,NaN,-0.34
197.0277778,197,0.027777778,NaN,0.012212944,NaN,-0.34
197.0347222,197,0.034722222,NaN,0.012184326,NaN,-0.34
197.0416667,197,0.041666667,NaN,0.01050994,NaN,-0.342
197.0486111,197,0.048611111,NaN,0.008902926,NaN,-0.344
197.0555556,197,0.055555556,NaN,0.008876333,NaN,-0.344
197.0625,197,0.0625,NaN,0.008086555,NaN,-0.345
197.0694444,197,0.069444444,NaN,0.008823252,NaN,-0.344
197.0763889,197,0.076388889,NaN,0.007290042,NaN,-0.346
197.0833333,197,0.083333333,NaN,0.006538863,NaN,-0.347
197.0902778,197,0.090277778,NaN,0.006514078,NaN,-0.347
197.0972222,197,0.097222222,NaN,0.00721398,NaN,-0.346
197.1041667,197,0.104166667,NaN,0.006464612,NaN,-0.347
197.1111111,197,0.111111111,NaN,0.005735407,NaN,-0.348
197.1180556,197,0.118055556,NaN,0.005711362,NaN,-0.348
197.125,197,0.125,NaN,0.005687352,NaN,-0.348
197.1319444,197,0.131944444,NaN,0.005663377,NaN,-0.348
197.1388889,197,0.138888889,NaN,0.005639437,NaN,-0.348
197.1458333,197,0.145833333,NaN,0.005615532,NaN,-0.348
197.1527778,197,0.152777778,NaN,0.004910764,NaN,-0.349
197.1597222,197,0.159722222,NaN,0.004887569,NaN,-0.349
197.1666667,197,0.166666667,NaN,0.005544023,NaN,-0.348
197.1736111,197,0.173611111,NaN,0.005520255,NaN,-0.348
197.1805556,197,0.180555556,NaN,0.005496521,NaN,-0.348
197.1875,197,0.1875,NaN,0.00547282,NaN,-0.348
197.1944444,197,0.194444444,NaN,0.005449152,NaN,-0.348
197.2013889,197,0.201388889,NaN,0.004749133,NaN,-0.349
197.2083333,197,0.208333333,NaN,0.004726181,NaN,-0.349
197.2152778,197,0.215277778,NaN,0.004703263,NaN,-0.349
197.2222222,197,0.222222222,NaN,0.004027444,NaN,-0.35
197.2291667,197,0.229166667,NaN,0.004005293,NaN,-0.35
197.2361111,197,0.236111111,NaN,0.00463471,NaN,-0.349
197.2430556,197,0.243055556,NaN,0.004611926,NaN,-0.349
197.25,197,0.25,NaN,0.005260988,NaN,-0.348
197.2569444,197,0.256944444,NaN,0.005237612,NaN,-0.348
197.2638889,197,0.263888889,NaN,0.005214267,NaN,-0.348
197.2708333,197,0.270833333,NaN,0.004521119,NaN,-0.349
197.2777778,197,0.277777778,NaN,0.004498499,NaN,-0.349
197.2847222,197,0.284722222,NaN,0.00514442,NaN,-0.348
197.2916667,197,0.291666667,NaN,0.004453355,NaN,-0.349
197.2986111,197,0.298611111,NaN,0.00443083,NaN,-0.349
197.3055556,197,0.305555556,NaN,0.004408338,NaN,-0.349
197.3125,197,0.3125,NaN,0.004385877,NaN,-0.349
197.3194444,197,0.319444444,NaN,0.003720463,NaN,-0.35
197.3263889,197,0.326388889,NaN,0.003698789,NaN,-0.35
197.3333333,197,0.333333333,NaN,0.003059498,NaN,-0.351
197.3402778,197,0.340277778,NaN,0.003038683,NaN,-0.351
197.3472222,197,0.347222222,NaN,0.002427983,NaN,-0.352
197.3541667,197,0.354166667,NaN,0.002408127,NaN,-0.352
197.3611111,197,0.361111111,NaN,0.00238831,NaN,-0.352
197.3680556,197,0.368055556,NaN,0.002955777,NaN,-0.351
197.375,197,0.375,NaN,0.005525938,NaN,-0.347
197.3819444,197,0.381944444,NaN,0.009193056,NaN,-0.342
197.3888889,197,0.388888889,NaN,0.01242973,NaN,-0.338
197.3958333,197,0.395833333,NaN,0.019677339,NaN,-0.33
197.4027778,197,0.402777778,NaN,0.031201698,NaN,-0.319
197.4097222,197,0.409722222,NaN,0.037008117,NaN,-0.314
197.4166667,197,0.416666667,NaN,0.040655301,NaN,-0.311
197.4236111,197,0.423611111,NaN,0.051117287,NaN,-0.303
197.4305556,197,0.430555556,NaN,0.065649407,NaN,-0.293
197.4375,197,0.4375,NaN,0.067155166,NaN,-0.292
197.4444444,197,0.444444444,NaN,0.068677715,NaN,-0.291
197.4513889,197,0.451388889,NaN,0.073439236,NaN,-0.288
197.4583333,197,0.458333333,NaN,0.080054556,NaN,-0.284
197.4652778,197,0.465277778,NaN,0.080007343,NaN,-0.284
197.4722222,197,0.472222222,NaN,0.081671237,NaN,-0.283
197.4791667,197,0.479166667,NaN,0.083353397,NaN,-0.282
197.4861111,197,0.486111111,NaN,0.081576185,NaN,-0.283
197.4930556,197,0.493055556,NaN,0.078127411,NaN,-0.285
197.5,197,0.5,NaN,0.081481196,NaN,-0.283
197.5069444,197,0.506944444,NaN,0.084909399,NaN,-0.281
197.5138889,197,0.513888889,NaN,0.084861227,NaN,-0.281
197.5208333,197,0.520833333,NaN,0.083066377,NaN,-0.282
197.5277778,197,0.527777778,NaN,0.08301859,NaN,-0.282
197.5347222,197,0.534722222,NaN,0.082970815,NaN,-0.282
197.5416667,197,0.541666667,NaN,0.086433614,NaN,-0.28
197.5486111,197,0.548611111,NaN,0.082875305,NaN,-0.282
197.5555556,197,0.555555556,NaN,0.082827567,NaN,-0.282
197.5625,197,0.5625,NaN,0.081054423,NaN,-0.283
